id,id,dialogue,final_summary,first_shot_summary
13815437,13815437,"Caroline: I think his mother doesn't like me...;-( :-( 
Kate: how come??
Caroline: I just see it in her eyes...
Kate: any example?
Caroline: I just feel it... 
Caroline: hard to give any example.
Caroline: I'm his first gf and she's jelous...
Kate: what??? u r his first gf??
Kate: how old is he??? o_O ???
Caroline: 26 but he's a nerd.
Caroline: he used to spend all the time at home..
Kate: so he lives at home with mummy?? LOL
Caroline: yeah.. mummy and gramma
Kate: fuck, really??
Kate: and u think he's normal?
Caroline: he's an introvert...
Caroline: it's a big house..
Kate: but has he ever lived somewhere else?
Kate: u know shared flat, erasmus?
Caroline: nope...
Kate: he's really weird..
Caroline: he's just a nerd, but v.intelligent!
Caroline: w8 , he's writing sth, will text u l8er.
Kate: ok",Caroline is unsure if the boy loves her anymore. His mother is wary of her. ,Caroline does not like his mother.
13729583,13729583,"Sharon: My mum knows
Ahmed: Aaaand?
Sharon: She’s angry, I’m grounded
Ahmed: For fuck’s sake you’re 19
Sharon: But I still live with my parents, let me remind you -_-
Ahmed: So move out
Sharon: It’s not that easy, hello
Ahmed: Move in with me, we would be together all the time :*
Sharon: I’d have to go to work, I’m still a student
Ahmed: Don’t worry, I’ll take care of you
Sharon: My parents will stop talking to me at all
Ahmed: So what
Sharon: I care about my parents, cmon!
Ahmed: But they’re stupid
Sharon: Don’t talk about them like that!! They’re just… old and manipulated
Ahmed: How can you manipulated into being an asshole -_-
Sharon: Ok, I know you fell hurt by their behavior but stop it
Ahmed: You don’t care about me
Sharon: I do! But my family is important to me, you should understand that
Ahmed: OK, whatever","Sharon's 19 and still lives with her parents, so Ahmed finds it hard to understand why she's so upset.","Sharon's 19 and still lives with her parents, so Ahmed finds it hard to understand why she's so upset."
13811296,13811296,"Harry: Going to Ikea, need anything?
Sarah: Oh yes! :D
Harry: perfect XD
Sarah: So could you please buy for me: white table cloth 120 cm x 140 cm, as simple as it gets, two medium size wardrobe organisers (the ones with grey flowers), one wooden spatula and three bottle cleaners.
Sarah: If you happen to go the food section, I wouldn't mind a Daim's frozen cake and a bag of meatballs ;)
Harry: Ok, got it. Will do my best.
Sarah: You can use my Ikea Family card, just give them the number and my last name and tell them you forgot to bring it ;) 17927192.
Harry: Thanks! Stay online, I may need your help.
Harry: <file_photo>
Harry: Is this table cloth ok? Or that one?
Harry: <file_photo>
Sarah: First one's perfect ;)",Harry will buy white table cloth on Sarah's request.,Harry will buy white table cloth on Sarah's request.
13716807,13716807,"Brett: So what do u do there? Drive a tank all the time?
John: Yes and no. U've got players from around the world and they have their tank squadrons and u battle them. Can be a lot of fun!
Andrew: So what happens if someone is on a higher level than u? They basically destroy u!
John: That's not a problem. The game doesn't allow higher ranked players o interact with players out of their range.
Brett: What do u mean?
John: If ur on lvl 5, a player on lvl 30 can't attack u. 
Andrew: Sensible. Unlike WoW.
John: So what's WoW like?
Andrew: Imagine having a character u rly like and u give it a lot of ur attention and get experience point, level up and so on. Someone who's played the game for like a year comes and kills u instantly.
Brett: Not cool. 
John: Yeah. Y would they allow such a thing?
Andrew: Well, open world, u can team up with anyone, do quests together, arrange fighting tactics and so on.
Brett: Actually, my cousin met his wife there :)
John: Rly?
Brett: Yeah. They were playing together for some time, talking and at some point he invited her to a date. Turned out they lived very close to each other ;)
Andrew: That's gr8! And how are they getting along now?
Brett: Most fights are about who gets 2 play at a given moment ;) 
John: Lol
Andrew: Well my favourite genre is RPGs :)
John: Can u name a title, except WoW?
Andrew: I can name a dozen, but one of my personal faves is the Final Fantasy series :)
Brett: What's this one about?
Andrew: Don't tell me u haven't heard about the greatest RPG series of all times?
John: Well, I haven't.
Andrew: I think I'll have to look for new friends... So embarrassing.
Brett: C'mon! Tell us!
Andrew: Fine... Usually u play a group of friends that have to resolve some kind of crisis. In the last part u play a prince whose kingdom has been destroyed and u try to well get revenge.
Brett: Sounds boring. 
Andrew: Believe me, it's not!",John plays a video game called World of Tanks.,John plays a video game called World of Tanks.
13829029,13829029,"Marta: i swear that jay is a pathological liar!!!!!!
Rose: why do you say that?
Marta: he keeps talking about how he has all this money and travels all over the world
Rose: lol yes, that's all he talks about
Marta: well i just found out he lives in a studio apartment in the outskirts of town!!!!!!! :-(",Marta thinks that jay is a thief and liar.,Marta thinks that jay is a thief and liar.
13680227,13680227,"Lindsey: Sup?
Sage: Nothing just having a beer. You?
Lindsey: I have just finished my class
Sage: Cool
Lindsey: I mean I should go for another class also
Sage: Oh really
Lindsey: But earlier I asked one girl to put my name on the attendance list instead of me :)
Sage: Hahaha. Naughty naughty!
Lindsey: Last week I did the same. I just hope that those signatures ( since last week I asked another girl) will be enough similar to mine. Because I gave them a piece of paper with my name written on it
Sage: Good luck haha",Lindsey finished her class.,Lindsey would like to go to another class too.
13612154,13612154,"John: Look, Bristol Stool Scale - perfect to read in the morning. <file_photo>
Henry: :-/
John: I was expecting a pic of your poop 
Henry: No, sorry :(
John: Constipations are the worst!
Henry: no no, I had a nice poop this morning! I never really am constipated.
John: My man! :D
Henry: Maybe I should write it on my tinder profile? ""Never really constipated""
John: I think it's a good metaphor.
Henry: About emotions etc?
John: Yes, like very psychoanalytic. And showing you're not pretentious.
Henry: Hehe. Maybe still not the best strategy overall though.","John sent a picture of the Bristol Stool Scale, whereas Henry sent a photo of something else.","John sent a picture of the Bristol Stool Scale, whereas Henry sent a photo of something else."
13729275,13729275,"Keira: How come it started with wildangel3 then went to 1 wouldn't it make more sense to go from 1 to 2 and then 3? 
Lois: yeah, i couldn't get onto my aacount for some bizar reason
Lois: but I'm thinking of deleting both - i mean, I created it when I was 10!
Keira: I figured ^^
Lois: Mean
Keira: <file_gif>
Lois: yeah yeah
Lois: btw, I saw your sister in town the other day
Keira: WHAT?! She's grounded for the month
Lois: SOmeone's in trouble...
Lois: You gonna tell on her?
Keira: Maybe... I'm kinda mad at her right now >:(",Keira and Lois think it should be either 1 or 2 then 3.,Keira and Lois think it should be either 1 or 2 then 3.
13820610-1,13820610-1,"Elvina: ever been to the local theatre smbd?
Averil: you mean here? The theatre with actors? And stage? Is there any?
Booth: yeah, I was the other day. Pretty cool and cheap.
Elvina: I got invite and dunno what to wear
Booth: I guess nothing much. Its kinda light hearted. Friendly and all. 
Elvina: oh good to know thx
Averil: im seriously shocked they have a theatre here
Booth: i mean it. was rly cool",Booth went to the local theatre the other day. It seemed like a cool place.,Booth went to the local theatre the other day. It seemed like a cool place.
13681603,13681603,"Ella: so? 
Molly: ?
Ella: come on! pics or it didn't happen
Molly: what are you going on about?
Ella: I heard you met up with Chuck
Molly: no... when was this suppossed to happen?
Ella: friday
Molly: Holly fuck that little shit made a story up
Ella: ?
Molly: I told him no and the little fucker made up a story
Molly: Im gonna kill him ",Ella thinks Molly should send some pics or her meeting with Chuck.,Ella thinks Molly should send some pics or her meeting with Chuck.
13862536,13862536,"Robert: Hi mate! Are you still at your office? If you are how about grabbing some coffee? I'm meeting Darek at 5pm, but I will be around at 3pm already :)
Gabriel: Hi Robert! Sorry for late response, didn't see your message. Also I've quit the office about a month ago, sorry. How are you doing?
Robert: I casually came to visit my old pals. Long story. I thought I could catch you somewhere, but maybe next time then ;). How are you doing? Where are you nowadays?
Gabriel: I'm OK. I'm at home, looking into what I'm doing next...Well I hope you will enjoy your meeting",Robert will meet Gabriel at 3 pm and have some coffee together.,Robert will meet Gabriel at 3 pm and have some coffee together.
13731261,13731261,"Alec: Have you seen the last America's got talent?
Alexa: No. 
Alexa: Interesting? 
Alec: <file_other>
Alexa: The link doesn't work. 
Alec: Give me a sec.
Alec: <file _other>
Alexa: Now it's working!
Alec: good, watch it, u'll like it
Alexa: you're right, I like it :)
Alexa: The girl is amazing!
Alec: :)
Alexa: I wish I have had half her skills when I was her age! 
Alec: She's very good, that's true. 
Alec: I even thik she might win the edition.
Alexa: Did you see all candidates?
Alec: yes
Alec: And there're a few good, but I personally think she's the best!
Alexa: I'd be glad if she wins :)",Alec wanted to know if Alexa had seen the last America's got talent. She had not yet. ,Alec wanted to know if Alexa had seen the last America's got talent. She had not yet. 
13829183,13829183,"Autumn: u sewn anything?
Autumn: show me show me!! :D
Autumn: <file_gif>
Israel: no :(
Israel: haven't had the time yet  ;(
Autumn: ooh :( 
Autumn: u need to have pririorities in life!
Autumn: like me - i haven't checked the tests for a month because the dress wouldn't sew itself :D
Israel: you've sewn a dres??
Israel: you didn't show it to me
Autumn: oh didn't i?
Autumn: there will be some photos on the site soon so you'll see it:)
Israel: sure will! can't wait!:D
Autumn: <file_other>
Autumn: haven't i showed you this?
Israel: noo!! it's wonderful!!
Autumn: thanks :)
Israel: can't wait to see the whole dress! :)","Israel hasn't sewn yet, because he didn't have the time.",Israel hasn't had the time to sew anything.
13863081,13863081,"Jackie: My sister called me she got pregnant.(°◇°)
Deadrana: Wow. awesome! ヽ(^。^)ノ
Jackie: But I am a bit worried about her.(ーー゛)(ーー゛)
Deadrana: Why? As I know your sister is healthy. Does she have any problem?
Jackie: No, no. Of course not. 
Jackie: You know nowadays having kids and raise them takes a lot of money for whole your life
Deadrana: That’s true.
Jackie: But I don't think my brother-in-law earns enough money for his kids. 
Deadrana: At least he doesn’t have any debt. 
Deadrana: I understand you are worried about your sister (・へ・)
Deadrana: Cause she is your sister but your brother-in-law is hardworking guy. 🙂🙂
Deadrana: Don’t worry too much.🙂
Jackie: My sister seemed also worried while she was talking about her pregnancy.
Deadrana: I can imagine....🙁🙁
Jackie: Because her plan was to have a baby 2 years later.
Jackie: So it is like, so to speak, well, an accident.😢😢😢
Deadrana: I understand. But life isn’t going only as you expected. Right?
Deadrana: Maybe you can just say only bright future. 
Jackie: Yeah..I guess you’re right. <_<<_<<_<
Jackie: Sometimes I feel lucky that I didn't get married yet.ヽ(´ー｀)┌",Jackie is worried for her sister.,Jackie is worried for her sister.
13810877,13810877,"Tina: Hey, Facebook is constantly non stop suggesting Patrick
Demi: Hahahahaha 
Tina: I think I have to catch a bit of your approach
Demi: He's a god. What do you mean...?
Tina: I have to learn how to transfer from hating men to fucking them haha
Demi: (Y)
Tina: as soon as possible
Demi: Haha! Yeah. I did it, you're right. But i worked on it hard after a huge heartbreak
Tina: <file_gif>
Demi: (Y) currently i like men. you have to be chilled with them ;)
Tina: <file_gif>
Demi: :D maybe its a mistake... i dont know. Lets organize workshops on that :D
Tina: I only like one type :D yes plz do it haha
Demi: Done! but maybe you should chill a bit, look around for ather types ...and see what happens
Tina: I only dont what my mood depend so much on other people
Demi: I know! I know it well!
Tina: this renting case is eating me
Demi: you have to isolate one bit inside that will be always independent
Tina: we have to meet, crazy girl!
Demi: for sure. if youre homeless i will take under my roof
Tina: between the guyshaha
Demi: we ll find something
Tina: <3",Tina is getting a lot of Facebook suggestions of Patrick.,Tina is getting a lot of Facebook suggestions of Patrick.
13819925,13819925,"Lisa: have you ever heard about this diet??
Lisa: <file_other>
Victoria: Nooo
Victoria: Hmm, seems interesting
Amelia: YES!! My mum was on that crazy diet..... She gained 5 pounds (ー_ー)!!
Lisa: omg, glad that I asked
Lisa: <file_gif> ",Amelia's mom was on that diet and then she gained a few pounds.,Amelia's mom was on that diet and then she gained a few pounds.
13730597,13730597,"Amelia: What is your favourite colour?
Emily: Blue, why?
Amelia: I can't tell you
Emily: A surprise? =)
Amelia: Sort of... Can't tell you anything more
Amelia: Sorry 
Emily: I'm super curious",Emily's favourite colour is blue. Amelia is keeping it a surprise. ,Emily's favourite colour is blue. Amelia is keeping it a surprise. 
13730484,13730484,"Molly: D‑':
Luca: What???
Molly: I can't think anymore today!
Luca: LOL!
Molly: Seriously!
Luca: Deep breath...
Molly: It's the silly season, isn't it?
Luca: Yep. Just hang in there.
Molly: Trying...
Luca: Try harder! LOL!
Molly: Driving me nuts!
Luca: I know, but you can't let it get you down!
Molly: Yeah, you're right.
Luca: Of course I am! LOL!
Molly: Modest, too.",Molly is stressed out. She's tired and she can't focus on anything anymore.,Molly is stressed out. She's tired and she can't focus on anything anymore.
13611880,13611880,"Joyce: Honey, can I take the car?
Kyle: No, I'm sorry.
Joyce: Why not? How am I supposed to go get Harry?
Kyle: I've got to go to a mechanic. The car is making a weird noise.
Joyce: Then can you get Harry on your way?
Kyle: I don't know, I'm already running late.
Joyce: Am I supposed to go get him by bus? That's ridiculous.
Kyle: Fine, I'll get him.
Joyce: Thank you.","Kyle's car is broken, so Joyce cannot drive it. She will ride on Harry's motorcycle to reach this destination.","Kyle's car is broken, so Joyce cannot drive it. She will ride on Harry's motorcycle to reach this destination."
13727763,13727763,"Bobby: U know what annoys me the most?
Mickey: Not being able to watch TV or listen to music without pesky interruptions?
Bobby: That too, but the thing that annoys me the most is pharmaceuticals, medicine and drugs.
Mickey: Y? Aren't they good 4 ur health?
Bobby: They may well be, but not for my wallet!
Mickey: What do u mean?
Bobby: I was watching a film last night and suddenly there's a bunch of commercial of different medical products and so on.
Mickey: And what of it?
Bobby: Imagine that pharmaceutical companies invent illnesses!
Mickey: What? Are u sure?
Bobby: No, I'm not, but in the commercial they mentioned a name of an illness I have never heard of.
Mickey: So what? There are many illnesses and diseases I've never heard of. 
Bobby: So I did some research. Turns out such a thing does not exist. No medical journal writes about it, no medical forum suggests caution.
Mickey: That doesn't mean it doesn't exist. 
Bobby: I even found a youtube video of a doctor explaining y it's not an illness. 
Mickey: All right, this is quite serious.
Bobby: So I put my mind to it and do u know what I came up with?
Mickey: What?
Bobby: That in this particular case they're selling mints as medical products!
Mickey: Srsly?!
Bobby: Absolutely!
Mickey: How long do u think they've been lying to us?
Bobby: Can't be sure, but probably 4ever. Imagine every illness, disease and so on. Where do these come from? Why do they spread so fast?
Mickey: That is kinda puzzling.
Bobby: Right?
Mickey: So why is no one doing anything about it?
Bobby: Do u know how much the pharmaceutical industry is worth today?
Mickey: No.
Bobby: At least $1.2 bln!
Mickey: Explains a lot.",Mickey and Bobby hate interruptions.,Mickey and Bobby hate interruptions.
13862663,13862663,"Colin: Hey I have some news that you would be really interested!(´･ω･`)
Ava: What is it?
Colin: How tall are you you said?
Ava: 158...cm.. why?(-_-メ)
Colin: Congratulations! You are defeated by penguin(☞ﾟヮﾟ)☞
Ava: What are you talking about?
Colin: Penguins' average  height is 162cm when they stand up （‐＾▽＾‐）オーホッホ
Colin: So you are officially shorter than penguins☜(⌒▽⌒)☞",Ava is 158cm tall.,Ava is 158cm tall.
13829523,13829523,"Fiona: I just can’t stand it
Wanda: What again
Fiona: When I’m in one room with him… I just go crazy
Wanda: Conrad?
Fiona: Yesss, he’s absolutely lovely!!
Wanda: IT IS YOUR STUDENT
Fiona: So what? I mean sure, I know it’s… inappropriate xd but still, he’s only 5 years younger than me
Wanda: It’s so fucked up, I knew you are crazy before but it’s too much
Fiona: I knoooow when I come back home after the class I can’t do anything for like an hour or two, I just listen to the music
Wanda: You’re literally in love with him
Fiona: I mean I don’t expect anything, we’re from different worlds but… Yes, I just want to be around him. All the time xd
Wanda: So you need to do something about it
Fiona: Are you crazy, I can’t!!
Wanda: Why not
Fiona: What would my boss say if she knew
Wanda: Will she know?
Fiona: How can I know what will he do, he can tell his mother as well
Wanda: Just go for it!!",Fiona cannot stand having Conrad in the same room.,Fiona cannot stand having Conrad in the same room.
13716653,13716653,"Jack: OMG STANLEY IS DEAD
Oliver: Wtf?
Stanley: I'm alive and well, dude
Jack: I meant Stan Lee, damn autocorrect
Stanley: I guessed that XD Yep, everybody's posting about it right now :(","Jack's autocorrect spells Stanley ""dead"" but Stanley is alive and well.","Jack's autocorrect spells Stanley ""dead"" but Stanley is alive and well."
13715861,13715861,"Luke: Ryanair to cancel flights affecting 400,000 more passengers. So unlucky Erin!
Erin: Yeeeep...it touched me as well finally 😩😩😩😩 Now they screw all my plans to go to Egypt...
Luke: You’re not the only one
Erin: Good to know that my feelings are shared with other 399,999 people 😩
Nathan: Relevant news story for everyone to consider: http://waterfordwhispersnews.com/2017/09/18/ryanair-cancel-effort-to-improve-brand-image/
Elijah: I’m lucky for now, none of my 2 flights have been cancelled 🙏
Erin: That’s not a good moment to brag 🙈
Ava: I think we were all unlucky with the ryanair fiasco...
Elijah: not me... yet… my 2 flights are confirmed for now
Luke: I’ve booked another flight with easyjet 🙂
Ava: I hope they can at least send me a voucher 😑
Erin: They will... Have faith...",Erin has Ryanair flights cancelled to and from Egypt on 17th March. Ryanair have screwed up Erin's travel plans.,Erin has Ryanair flights cancelled to and from Egypt on 17th March. Ryanair have screwed up Erin's travel plans.
